# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch3600.dat -cam -discard 0.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 386.625
# sub_a, sub_b = 494.247 -11.2439
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
  230   0.66111  2.28864    115.816  0.219 +-  0.000  0.000     30.99      8.45
  231  -2.79324  0.41229    103.089  0.279 +-  0.000  0.000     -4.88    -10.43
  232  -9.15766  4.70123      3.448  0.000 +-  0.000  0.000      3.45      3.45
  233   0.89741  0.62245    159.084  0.279 +-  0.000  0.000     51.12     23.59
  234  -7.39153  1.23565     30.693  0.000 +-  0.000  0.000     30.69     30.69
  235  -6.12889  4.18000     38.877  0.100 +-  0.000  0.000      0.32     31.71
  236  -8.51467  2.09032     16.305  0.000 +-  0.000  0.000     16.30     16.30
  237   4.06105  4.03506    113.244  0.349 +-  0.000  0.000    -21.71      5.45
  238  -3.83622  3.13321     87.841  0.289 +-  0.000  0.000    -23.98     -7.25
  239   7.74266  4.77244      9.321  0.000 +-  0.000  0.000      9.32      9.32
  240   9.46492  0.22605      1.260  0.000 +-  0.000  0.000      1.26      1.26
  241  -0.73409  3.00470     97.595  0.189 +-  0.000  0.000     24.33      5.09
  242   0.75869  2.72315    117.089  0.289 +-  0.000  0.000      5.27    -23.99
  243  -6.45013  5.53796     45.972  0.000 +-  0.000  0.000     45.97     45.97
  244  -3.22983  1.21604     65.495  0.180 +-  0.000  0.000     -3.91     -2.18
  245  10.07020  4.80503      3.844  0.000 +-  0.000  0.000      3.84      3.84
  246  10.83402  0.44091      2.039  0.000 +-  0.000  0.000      2.04      2.04
  247   2.67655  5.79218    108.826  0.269 +-  0.000  0.000      4.72     -2.57
  248   6.74170  2.37336     16.880  0.000 +-  0.000  0.000     16.88     16.88
  249  -7.52702  5.51034     27.652  0.000 +-  0.000  0.000     27.65     27.65
  250  -8.84526  2.86615      3.928  0.000 +-  0.000  0.000      3.93      3.93
  251   0.38539  1.12517    159.046  0.309 +-  0.000  0.000     39.51      6.76
  252   4.67443  3.76690     58.664  0.219 +-  0.000  0.000    -26.17      4.13
  253  -0.84065  5.13867    160.202  0.299 +-  0.000  0.000     44.52     14.70
  254   5.08775  3.64330     67.621  0.309 +-  0.000  0.000    -51.91      4.80
  255  -4.57274  2.02045     80.607  0.299 +-  0.000  0.000    -35.07      3.07
  256   6.35305  0.09633     35.699  0.000 +-  0.000  0.000     35.70     35.70
  257   0.50011  3.77142    107.778  0.249 +-  0.000  0.000     11.38    -14.75
  258  -9.75193  0.83597      1.744  0.000 +-  0.000  0.000      1.74      1.74
  259   9.59494  0.96930      1.069  0.000 +-  0.000  0.000      1.07      1.07
  260   2.64879  1.02924    120.612  0.299 +-  0.000  0.000      4.93     -3.66
  261   8.05475  5.04162     11.350  0.000 +-  0.000  0.000     11.35     11.35
  262   1.42071  3.57652    109.513  0.229 +-  0.000  0.000     20.83      1.35
  263   7.39370  2.98407     33.515  0.000 +-  0.000  0.000     33.51     33.51
  264  -2.34113  2.27284     80.527  0.239 +-  0.000  0.000    -12.02    -23.02
  265  -6.31298  0.57165     52.716  0.010 +-  0.000  0.000     48.86     52.26
  266  -3.10610  3.52520     84.995  0.219 +-  0.000  0.000      0.16      0.35
  267   5.14250  2.74674     59.507  0.269 +-  0.000  0.000    -44.60      6.49
  268  -4.20045  4.08908     80.386  0.199 +-  0.000  0.000      3.27     21.37
  269  -6.12310  3.71323     31.323  0.040 +-  0.000  0.000     15.90     28.42
  270   1.45788  1.20409     99.777  0.229 +-  0.000  0.000     11.09     -8.11
  271  -1.66438  5.33454    108.059  0.279 +-  0.000  0.000      0.09    -21.26
  272   8.14333  4.26783     14.770  0.000 +-  0.000  0.000     14.77     14.77
  273  -0.56646  3.38057    143.631  0.259 +-  0.000  0.000     43.38     16.41
  274   4.97472  2.31190     52.504  0.289 +-  0.000  0.000    -59.32     -9.96
  275  -2.19022  0.43973    101.515  0.229 +-  0.000  0.000     12.83      0.51
  276   9.67314  2.21004      2.389  0.000 +-  0.000  0.000      2.39      2.39
  277  10.08422  2.68131      2.336  0.000 +-  0.000  0.000      2.34      2.34
  278   7.91041  1.27360      3.502  0.000 +-  0.000  0.000      3.50      3.50
  279   1.26093  3.11167     90.391  0.239 +-  0.000  0.000     -2.15    -23.63
  280   8.18240  3.36812     12.668  0.000 +-  0.000  0.000     12.67     12.67
  281   0.78014  4.08101    100.526  0.269 +-  0.000  0.000     -3.58    -30.72
  282   4.67540  1.78994     88.826  0.369 +-  0.000  0.000    -53.84     -2.86
  283   5.57988  2.29831     54.285  0.349 +-  0.000  0.000    -80.67      3.96
  284  -0.21488  4.20573    224.947  0.349 +-  0.000  0.000     89.99     52.60
  285   5.73345  0.33223     36.906  0.229 +-  0.000  0.000    -51.78      8.32
  286   3.27845  2.98996     78.663  0.209 +-  0.000  0.000     -2.31      0.46
  287  -5.81441  2.30307     39.826  0.269 +-  0.000  0.000    -64.28      9.10
  288   7.88057  0.01026     12.932  0.000 +-  0.000  0.000     12.93     12.93
  289   3.95071  4.84661     91.941  0.219 +-  0.000  0.000      7.11     22.00
  290  -3.26647  0.18146     84.040  0.239 +-  0.000  0.000     -8.50     -5.55
  291   3.47055  4.21171     62.705  0.170 +-  0.000  0.000     -2.85      1.87
