# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch1600.dat -cam -discard 2.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 13.4505
# sub_a, sub_b = 27.253 -0.422153
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
  167  -3.14742  6.07714      4.091  0.309 +-  0.000  0.000     -0.07     -3.04
  168  -3.64452  0.35730      2.969  0.269 +-  0.000  0.000     -0.65     -2.86
  169  -5.98458  5.07631      8.089  0.229 +-  0.000  0.000      5.00      5.31
  170  -1.79069  0.54216     16.612  0.479 +-  0.000  0.000     10.17      4.21
  171  -1.85698  2.59397      6.394  0.449 +-  0.000  0.000      0.36     -5.18
  172 -12.26257  2.60185      2.452  0.000 +-  0.000  0.000      2.45      2.45
  173   2.64564  4.03416      6.301  0.359 +-  0.000  0.000      1.47     -2.42
  174   3.78337  0.45710      7.846  0.319 +-  0.000  0.000      3.55      1.08
  175   2.44358  2.22554      7.663  0.389 +-  0.000  0.000      2.43     -1.96
  176  -7.35671  5.61325      4.640  0.000 +-  0.000  0.000      4.64      4.64
  177  -1.40027  2.32756      4.737  0.249 +-  0.000  0.000      1.38     -1.85
  178   5.12849  6.03641      7.349  0.409 +-  0.000  0.000      1.85      0.75
  179   4.25259  0.77550     15.879  0.299 +-  0.000  0.000     11.85     10.01
  180   8.27834  1.52186      2.446  0.000 +-  0.000  0.000      2.45      2.45
  181   0.34189  2.50193      4.839  0.150 +-  0.000  0.000      2.83      0.77
  182   7.71278  5.23185      7.247  0.000 +-  0.000  0.000      7.25      7.25
  183   4.73221  5.16406      8.707  0.319 +-  0.000  0.000      4.41      3.03
  184  -0.26319  5.04191      2.058  0.319 +-  0.000  0.000     -2.24     -6.63
  185  -7.31817  1.67299      2.654  0.000 +-  0.000  0.000      2.65      2.65
  186   5.38590  4.73905      4.625  0.209 +-  0.000  0.000      1.81      1.48
  187  -4.13711  0.31393      2.749  0.259 +-  0.000  0.000     -0.74     -2.44
  188  -3.09469  5.26620     12.798  0.419 +-  0.000  0.000      7.16      3.08
  189   0.14953  3.02389      6.851  0.519 +-  0.000  0.000     -0.12     -7.28
  190   8.55646  1.97863      6.556  0.000 +-  0.000  0.000      6.56      6.56
  191  -2.40068  2.31700     14.931  0.449 +-  0.000  0.000      8.89      3.79
  192   7.70271  0.86800      2.051  0.000 +-  0.000  0.000      2.05      2.05
  193   6.63502  2.90073      7.178  0.000 +-  0.000  0.000      7.18      7.18
  194  -1.51534  5.14200      2.151  0.419 +-  0.000  0.000     -3.48     -8.86
  195  -8.10734  5.96051      2.456  0.000 +-  0.000  0.000      2.46      2.46
  196   1.00514  0.14665      9.169  0.409 +-  0.000  0.000      3.67     -1.80
  197   0.70099  5.24640      4.429  0.289 +-  0.000  0.000      0.54     -3.39
  198  -1.72847  5.61820      5.086  0.209 +-  0.000  0.000      2.27     -0.36
  199   0.51324  5.86900     10.060  0.489 +-  0.000  0.000      3.49     -3.20
